Mineral_name,Formula,Reference
Aluminum,Al,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Argon,Ar,"Henshaw, D.. G.., , Physical Review, 111, 1470–1475 (1958)."
Barium,Ba,"Hirst, R.. G.., King, A.. J.., Kanda, F.. A.., The barium-strontium equilibrium system Sample: at T = 25 C, Journal of Physical Chemistry, 60, 302–304 (1956)."
Beryllium,Be,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Cadmium,Cd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
,Ce,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Calcium,Ca,"Bernstein, B.. T.., Smith, J.. F.., Coefficients of thermal expansion for face-centered cubic and body-centered cubic calcium Sample: at T = 26 C, Acta Crystallographica, 12, 419–420 (1959)."
,Cs,"Barrett, C.. S.., X-ray study of the alkali metals at low temperatures Locality: synthetic Sample: at T = 78 K Note: lattice parameters are average of 6 values, Acta Crystallographica, 9, 671–677 (1956)."
Chromium,Cr,"Swanson, H. E., Gilfrich, N. T., Ugrinic, G. M., Standard X-ray diffraction powder patterns, National Bureau of Standards (U.S.), Circular, 539, 5–5 (1955)."
Cobalt,Co,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
Cobalt,Co,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
