Mineral_name,Formula,Reference
Shimazakiite,Ca₂ B₂ O₅,"Kusachi I., Kobayashi S., Takechi Y., Nakamuta Y., Nagase T., Yokoyama K., Momma K., Miyawaki R., Shigeoka M., Matsubara S., Shimazakiite-4M and shimazakiite-4O, Ca2B2O5, two polytypes of a new mineral from Fuka, Okayama Prefecture, Japan Note: polytype Shimazakiite-4M, Mineralogical Magazine, 77, 93–105 (2013)."
Luneburgite,Mg₃ P₂ B₂ O₂₀ H₁₈,"Sen Gupta. P. K., Swihart G. H., Dimitrijevic R., Hossain M. B., The crystal structure of luneburgite, Mg3(H2O)6[B2(OH)6(PO4)2], American Mineralogist, 76, 1400–1407 (1991)."
Biringuccite,Na₂ B₅ O₁₀ H₃,"Corazza E., Menchetti S., Sabelli C., The crystal structure of biringuccite, Na4[B10O16(OH)2].2H2O, American Mineralogist, 59, 1005–1015 (1974)."
Glikinite,Zn₃ S₂ O₉,"Nazarchuk E. V., Siidra O. I., Nekrasova D. O., Shilovskikh V. V., Borisov A. S., Avdontseva E. Y., Glikinite, Zn3O(SO4)2, a new anhydrous zinc oxysulfate mineral structurally based on OZn4 tetrahedra, Mineralogical Magazine, 84, 563–567 (2020)."
Barite,Ba S O₄,"Colville A. A., Staudhammer K., A refinement of the structure of barite, American Mineralogist, 52, 1877–1880 (1967)."
Diamond,C,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
Frolovite,Ca B₂ (O₈ H₈),"Egorov-Tismenko Y. K., Gushchina A. E., Shashkin D. N., Simonov M. A., Belov N. V., The crystal structure of frolovite CaB2O4(H2O)4 = Ca(B(OH)4)2, Doklady Akademii Nauk SSSR, 202, 78–80 (1972)."
Berryite,Cu₃ Ag₂ Pb₃ Bi₇ S₁₆,"Topa D., Makovicky E., Putz H., Mumme W. G., The crystal structure of berryite, Cu3Ag2Pb3Bi7S16 Note: y-coordinates corrected by author, The Canadian Mineralogist, 44, 465–480 (2006)."
Osmium,Os,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Trabzonite,Ca₄ Si₃ O₁₁ H₂,"Armbruster T., Lazic B., Galuskina I. O., Galuskin E. V., Gnos E., Marzec K. M., Gazeev V. M., Trabzonite, Ca4[Si3O9(OH)]OH: crystal structure, revised formula, new occurrence and relation to killalaite, Mineralogical Magazine, 76, 455–472 (2012)."
Gurimite,Ba₃ V₂ O₈,"Susse P., Buerger M. J., The structure of Ba3(VO4)2, Zeitschrift fur Kristallographie, 131, 161–174 (1970)."
Maucherite,Ni₁₁ As₈,"Fleet M. E., The crystal structure of maucherite (Ni11As8), American Mineralogist, 58, 203–210 (1973)."
